publication_title,publication_doi,publication_journal_issn,num_cited_references
Nanoscale control of internal inhomogeneity enhances water transport in desalination membranes,https://doi.org/10.1126/science.abb8518,0036-8075,49
Endogeneity: A Review and Agenda for the Methodology-Practice Divide Affecting Micro and Macro Research,https://doi.org/10.1177/0149206320960533,0149-2063,110
Uncertainty risks and strategic reaction of restaurant firms amid COVID-19: Evidence from China,https://doi.org/10.1016/j.ijhm.2020.102752,0278-4319,19
Susceptibility of Domestic Swine to Experimental Infection with Severe Acute Respiratory Syndrome Coronavirus 2,https://doi.org/10.3201/eid2701.203399,1080-6040,32
Challenges and Opportunities in Machine-Augmented Plant Stress Phenotyping,https://doi.org/10.1016/j.tplants.2020.07.010,1360-1385,103
Ecological restoration impact on total terrestrial water storage,https://doi.org/10.1038/s41893-020-00600-7,2398-9629,65
"Projected Changes in Temperature and Precipitation Over the United States, Central America, and the Caribbean in CMIP6 GCMs",https://doi.org/10.1007/s41748-021-00199-5,2509-9434,103
"Ivermectin: An Anthelmintic, an Insecticide, and Much More",https://doi.org/10.1016/j.pt.2020.10.005,1471-4922,96
Three-dimensional Wadell roundness for particle angularity characterization of granular soils,https://doi.org/10.1007/s11440-020-01004-9,1861-1125,83
Building Transparency and Trustworthiness in Inductive Research Through Computer-Aided Qualitative Data Analysis Software,https://doi.org/10.1177/1094428119865016,1094-4281,47
Effect of chloride ingress on self-healing recovery of smart cementitious composite incorporating crystalline admixture and MgO expansive agent,https://doi.org/10.1016/j.cemconres.2020.106252,0008-8846,68
From the Editors: Introduction to Managing Supply Chains Beyond Covid‐19 ‐ Preparing for the Next Global Mega‐Disruption,https://doi.org/10.1111/jscm.12254,1523-2409,7
Higgs boson production cross-section measurements and their EFT interpretation in the $4\ell $ decay channel at $\sqrt{s}=$13 TeV with the ATLAS detector,https://doi.org/10.1140/epjc/s10052-020-8227-9,1434-6044,0
Exponential-growth prediction bias and compliance with safety measures related to COVID-19,https://doi.org/10.1016/j.socscimed.2020.113473,0277-9536,15
Dual pH-responsive-charge-reversal micelle platform for enhanced anticancer therapy,https://doi.org/10.1016/j.msec.2020.111527,0928-4931,62
"Assessment of Changes in Alcohol and Marijuana Abstinence, Co-Use, and Use Disorders Among US Young Adults From 2002 to 2018",https://doi.org/10.1001/jamapediatrics.2020.3352,2168-6203,36
Informal Learning Environments and Impact on Interest in STEM Careers,https://doi.org/10.1007/s10763-019-10038-9,1571-0068,30
Methodologies to mitigate wind-induced vibration of tall buildings: A state-of-the-art review,https://doi.org/10.1016/j.jobe.2020.101582,2352-7102,154
"A descriptive analysis of the COVID‐19 impacts on U.S. pork, turkey, and egg markets",https://doi.org/10.1002/agr.21674,0742-4477,20
Assessing the uncertainty of maize yield without nitrogen fertilization,https://doi.org/10.1016/j.fcr.2020.107985,0378-4290,113
Mechanical and fracture properties of steel fiber-reinforced geopolymer concrete,https://doi.org/10.1515/secm-2021-0030,0792-1233,75
Standard single and basal crop coefficients for field crops. Updates and advances to the FAO56 crop water requirements method,https://doi.org/10.1016/j.agwat.2020.106466,0378-3774,149
"“Think globally, act locally”: A glocal approach to the development of social media literacy",https://doi.org/10.1016/j.compedu.2020.104025,0360-1315,69
Modeling a green supply chain in the hotel industry: An evolutionary game theory approach,https://doi.org/10.1016/j.ijhm.2020.102716,0278-4319,57
Numerically stable coded matrix computations via circulant and rotation matrix embeddings,https://doi.org/10.1109/tit.2021.3137266,0018-9448,0
Anisotropic Metasurface Holography in 3-D Space With High Resolution and Efficiency,https://doi.org/10.1109/tap.2020.3008659,0018-926X,59
Novel lecithin-based oleogels and oleogel emulsions delay lipid oxidation and extend probiotic bacteria survival,https://doi.org/10.1016/j.lwt.2020.110353,0023-6438,22
"Known Distribution of the Soybean Cyst Nematode, <i>Heterodera glycines</i>, in the United States and Canada in 2020",https://doi.org/10.1094/php-10-20-0094-br,1535-1025,8
Crisis Management and Corporate Apology: The Effects of Causal Attribution and Apology Type on Publics’ Cognitive and Affective Responses,https://doi.org/10.1177/2329488417735646,2329-4884,43
"Development of theory of mind on online social networks: Evidence from Facebook, Twitter, Instagram, and Snapchat",https://doi.org/10.1016/j.jbusres.2020.03.001,0148-2963,87
Phytonematode peptide effectors exploit a host post‐translational trafficking mechanism to the ER using a novel translocation signal,https://doi.org/10.1111/nph.16765,0028-646X,56
Performance improvement of mixed-flow centrifugal pumps with new impeller shrouds: Numerical and experimental investigations,https://doi.org/10.1016/j.renene.2020.08.104,0960-1481,29
Significance of Perfluoroalkyl Substances (PFAS) in Food Packaging,https://doi.org/10.1002/ieam.4346,1551-3777,11
Performance evaluation of geosynthetic reinforced flexible pavement: a review of full-scale field studies,https://doi.org/10.1007/s42947-020-0019-y,1996-6814,16
NIH Workshop Report: sensory nutrition and disease,https://doi.org/10.1093/ajcn/nqaa302,0002-9165,176
Where does all the biofuel go? Fuel efficiency gains and its effects on global agricultural production,https://doi.org/10.1016/j.enpol.2020.111909,0301-4215,24
PlacentaCellEnrich: A tool to characterize gene sets using placenta cell-specific gene enrichment analysis,https://doi.org/10.1016/j.placenta.2020.10.029,0143-4004,24
Coping With College Obstacles: The Complicated Role of Familia for First-Generation Mexican American College Students:,https://doi.org/10.1177/1538192719835683,1538-1927,17
Psychological and endocannabinoid responses to aerobic exercise in substance use disorder patients,https://doi.org/10.1080/08897077.2019.1680480,0889-7077,79
"Toward a Professional Development Model for Writing as a Digital, Participatory Process",https://doi.org/10.1002/rrq.294,0034-0553,58
Nonlinear Multiple Models Adaptive Secondary Voltage Control of Microgrids,https://doi.org/10.1109/tsg.2020.3023307,1949-3053,50
"Standard single and basal crop coefficients for vegetable crops, an update of FAO56 crop water requirements approach",https://doi.org/10.1016/j.agwat.2020.106196,0378-3774,123
Gendered Knowledge Accessibility: Evaluating the Role of Gender in Knowledge Seeking among Engineers in the US,https://doi.org/10.1061/(asce)me.1943-5479.0000865,0742-597X,55
Establishing a frame of reference for measuring disaster resilience,https://doi.org/10.1016/j.dss.2020.113406,0167-9236,49
An experimental study of rain erosion effects on a hydro-/ice-phobic coating pertinent to Unmanned-Arial-System (UAS) inflight icing mitigation,https://doi.org/10.1016/j.coldregions.2020.103196,0165-232X,48
Price explosiveness in nonferrous metal futures markets,https://doi.org/10.1016/j.econmod.2020.09.012,0264-9993,67
Clustering Mashups by Integrating Structural and Semantic Similarities Using Fuzzy AHP,https://doi.org/10.4018/ijwsr.2021010103,1545-7362,0
Modeling and Forecasting COVID-19,https://doi.org/10.1090/noti2263,0002-9920,0
PKC Delta Activation Promotes Endoplasmic Reticulum Stress (ERS) and NLR Family Pyrin Domain-Containing 3 (NLRP3) Inflammasome Activation Subsequent to Asynuclein-Induced Microglial Activation: Involvement of Thioredoxin-Interacting Protein (TXNIP)/Thioredoxin (Trx) Redoxisome Pathway,https://doi.org/10.3389/fnagi.2021.661505,1663-4365,139
"Evaluating Relationships between Perception-Reaction Times, Emergency Deceleration Rates, and Crash Outcomes using Naturalistic Driving Data",https://doi.org/10.1177/0361198120966602,0361-1981,23
